url,localizacao,tipo,area_ha,area_m2,descricao,preco,valor_m2,quartos,suites,vagas,creci,total_comodos,categoria_area,categoria_preco
/imovel/rural-4-quartos-venda-quinta-dos-ipes-sao-sebastiao-df-condominio-quinta-dos-ipes-1173724,"Condomínio Quinta dos Ipes, QUINTA DOS IPES, SAO SEBASTIAO","Venda Rural 0,04 ha",0.04,400.0,VENDA DE CHACARA,550000.0,1.0,4,2,20,25363,6,Pequeno (≤1 ha),Médio (500k-1.5M)
/imovel/rural-0-quartos-venda-estancias-vila-rica-sobradinho-df-rodovia-br-020-km-128-1198092,"Rodovia BR 020 KM 12,8, ESTANCIAS VILA RICA, SOBRADINHO","Venda Rural 0,04 ha",0.04,400.0,Estancias Vila Rica ESCRITURADA E REGISTRADA,1100000.0,2.0,0,0,2,24787,0,Pequeno (≤1 ha),Médio (500k-1.5M)
/imovel/rural-0-quartos-venda-altiplano-leste-brasilia-df-rodovia-df-001-altiplano-leste-1219450,"Rodovia DF 001 Altiplano Leste, ALTIPLANO LESTE, BRASILIA","Venda Rural 6,00 ha",6.0,60000.0,"2.500.000 / 60.000m2 = 41,66m2 ONDE SE ACHA ISSO EM BRASÍLIA ESCRITURADAS E REGISTRADAS, MATRICULAS INDIVIDUAIS",2500000.0,41.0,0,0,0,7038,0,Médio (1-10 ha),Alto (1.5M-5M)
/imovel/rural-3-quartos-venda-zona-rural-sobradinho-df-rodovia-df-250-km-12-fazenda-velha-1116987,"Rodovia DF 250 Km 12 Fazenda Velha, ZONA RURAL, SOBRADINHO","Venda Rural 6,24 ha",6.24,62400.0,Chácara à Venda em Paranoá - DF250 - ...,1550000.0,24.0,3,1,10,25364,4,Médio (1-10 ha),Alto (1.5M-5M)
/imovel/rural-3-quartos-venda-zona-rural-ceilandia-df-rodovia-br-070-km-17-st-de-chacaras-agusmao-1096706,"Rodovia BR 070, km 17 St de Chácaras A.Gusmão, ZONA RURAL, CEILANDIA","Venda Rural 0,03 ha",0.03,300.0,Casa com terreno de 4158 metros no Incra 9 por R$ 495.000,495000.0,1.0,3,0,5,30122,3,Pequeno (≤1 ha),Baixo (≤500k)
/imovel/rural-4-quartos-venda-brazlandia-brazlandia-df-nucleo-rural-incra-7-1195264,"Núcleo Rural Incra 7, BRAZLANDIA, BRAZLANDIA","Venda Rural 5,00 ha",5.0,50000.0,"Chácara com 5 Hectares à Venda - Casa Ampla, Produção Agrícola e Localização Privilegiada!",2500000.0,50.0,4,1,20,24313,5,Médio (1-10 ha),Alto (1.5M-5M)
/imovel/rural-0-quartos-venda-paranoa-paranoa-df-rodovia-df-130-km-31-1089081,"Rodovia DF 130 KM 31, PARANOA, PARANOA","Venda Rural 0,70 ha",0.7,7000.0,CHÁCARA COM RIO NOS FUNDOS PRÓXIMA AO ASFALTO,145000.0,20.0,0,0,0,24770,0,Pequeno (≤1 ha),Baixo (≤500k)
/imovel/rural-0-quartos-venda-jardim-botanico-brasilia-df-rodovia-df-135-km-9-939430,"Rodovia DF 135 KM 9, JARDIM BOTANICO, BRASILIA","Venda Rural 2,00 ha",2.0,20000.0,,275000.0,13.0,0,0,0,24770,0,Médio (1-10 ha),Baixo (≤500k)
/imovel/rural-0-quartos-venda-residencial-morro-da-cruz-sao-sebastiao-df-residencial-morro-da-cruz-1236831,"Residencial MORRO DA CRUZ, RESIDENCIAL MORRO DA CRUZ, SAO SEBASTIAO","Venda Rural 1,00 ha",1.0,10000.0,Clube Exclusivo à Venda: Oportunidade Única no DF,1999000.0,199.0,0,0,0,32411,0,Pequeno (≤1 ha),Alto (1.5M-5M)
/imovel/rural-0-quartos-venda-paranoa-paranoa-df-rodovia-df-130-km-31-1148698,"Rodovia DF 130 KM 31, PARANOA, PARANOA","Venda Rural 2,47 ha",2.47,24700.000000000004,Área bastante desenvolvida e consolidada,9000000.0,364.0,0,0,20,20576,0,Médio (1-10 ha),Muito Alto (>5M)
