url,localizacao,tipo,area_ha,area_m2,descricao,preco,valor_m2,quartos,suites,vagas,creci
/imovel/rural-4-quartos-venda-riacho-fundo-riacho-fundo-df-agricola-canegae-1231666,"Agrícola Canegae, RIACHO FUNDO, RIACHO FUNDO","Venda Rural 11,00 ha",11.0,110000.0,Riacho Fundo 1 Canegae 11 Ha com Água e Asfalto na Porta.,3400000.0,30.0,4,2,4,17954
/imovel/rural-4-quartos-venda-paranoa-paranoa-df-capao-da-onca-1071553,"Capão da Onça, PARANOA, PARANOA","Venda Rural 27,00 ha",27.0,270000.0,Chácara a venda 35 hectares - Formada...,549900.0,2.0,4,0,10,25364
/imovel/rural-0-quartos-venda-zona-rural-santa-maria-df-area-rural-972921,"Area Rural, ZONA RURAL, SANTA MARIA","Venda Rural 2,50 ha",2.5,25000.0,,950000.0,38.0,0,0,0,5580
/imovel/rural-3-quartos-venda-lago-norte-brasilia-df-corrego-do-urubu-1069894,"Córrego do Urubu, LAGO NORTE, BRASILIA","Venda Rural 0,31 ha",0.31,3100.0,"Chácara à venda no Lago Norte/DF, no Córrego do Urubu com 3.140 m² de terreno",1550000.0,493.0,3,2,0,24663
/imovel/rural-3-quartos-venda-nucleo-rural-lago-oeste-sobradinho-df-rua-5-985159,"Rua 5, NUCLEO RURAL LAGO OESTE, SOBRADINHO","Venda Rural 2,00 ha",2.0,20000.0,"RUA 04 - 20.000 M2 COM IRRIGAÇÃO E 3 CASAS, PISCINA, OUTORGA",1800000.0,90.0,3,1,0,5776
/imovel/rural-0-quartos-venda-nucleo-rural-lago-oeste-sobradinho-df-rua-18-1141341,"Rua 18, NUCLEO RURAL LAGO OESTE, SOBRADINHO","Venda Rural 0,02 ha",0.02,200.0,(61) 3595-1212 CHACARA / 6 HECTARES /  LAGO OESTE / 61  3595-1212,1500000.0,7.0,0,0,0,23202
/imovel/rural-0-quartos-venda-setor-oeste-gama-df-ponte-alta-de-cima-979696,"Ponte Alta de Cima, SETOR OESTE, GAMA","Venda Rural 6,50 ha",6.5,65000.0,Sítio Angico e Jacarepaguá Chácara com Lazer completo escriturada.,1495000.0,23.0,0,0,0,22899
/imovel/rural-0-quartos-venda-zona-rural-ceilandia-df-gleba-03-nucleo-rural-alexandre-gusmao-1200121,"Gleba 03 Nucleo Rural Alexandre Gusmao, ZONA RURAL, CEILANDIA","Venda Rural 2,70 ha",2.7,27000.0,**CHÁCARA TODA FORMADA COM 27.000m² ** CHÁCARA A 1KM DO ASFALTO - ESTUDA PERMUTA POR IMÓVEL NA VICENTE PIRES E ARNIQUEIRA,1150000.0,42.0,0,0,10,25227
/imovel/rural-0-quartos-venda-zona-rural-ceilandia-df-rodovia-br-070-km-17-st-de-chacaras-agusmao-1187585,"Rodovia BR 070, km 17 St de Chácaras A.Gusmão, ZONA RURAL, CEILANDIA","Venda Rural 21,60 ha",21.6,216000.0,,6500000.0,30.0,0,0,0,23201
/imovel/rural-0-quartos-venda-zona-rural-santo-antonio-do-descoberto-go-area-rural-938510,"Area Rural, ZONA RURAL, SANTO ANTONIO DO DESCOBERTO","Venda Rural 29,00 ha",29.0,290000.0,FAZENDA SÃO COSME E DAMIÃO,3300000.0,11.0,0,0,0,23698
